"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"15:08:53,9828084","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\desktop.ini","SUCCESS",""
"15:08:53,9830282","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9830835","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5","SUCCESS","CreationTime: 19.08.2015 11:21:46, LastAccessTime: 18.11.2015 11:09:27, LastWriteTime: 18.11.2015 11:09:27, ChangeTime: 18.11.2015 15:05:38, FileAttributes: HSDNCI"
"15:08:53,9831165","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5","SUCCESS",""
"15:08:53,9833245","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9833609","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5","SUCCESS","CreationTime: 19.08.2015 11:21:46, LastAccessTime: 18.11.2015 11:09:27, LastWriteTime: 18.11.2015 11:09:27, ChangeTime: 18.11.2015 15:05:38, FileAttributes: HSDNCI"
"15:08:53,9833890","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5","SUCCESS",""
"15:08:53,9836168","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5\desktop.ini","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9837735","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5\desktop.ini","SUCCESS","CreationTime: 19.08.2015 11:21:46, LastAccessTime: 19.08.2015 11:21:46, LastWriteTime: 19.08.2015 11:21:46, ChangeTime: 19.08.2015 11:21:46, FileAttributes: HSNCI"
"15:08:53,9838047","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\History\History.IE5\desktop.ini","SUCCESS",""
"15:08:53,9843427","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9843875","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5","SUCCESS","CreationTime: 19.08.2015 11:21:46, LastAccessTime: 26.08.2015 18:09:29, LastWriteTime: 26.08.2015 18:09:29, ChangeTime: 18.11.2015 15:05:38, FileAttributes: HSDNCI"
"15:08:53,9844169","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5","SUCCESS",""
"15:08:53,9845543","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5","SUCCESS","Desired Access: Write Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9845947","GPU-Z.exe","1748","SetBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5","SUCCESS","CreationTime: 01.01.1601 5:00:00, LastAccessTime: 01.01.1601 5:00:00, LastWriteTime: 01.01.1601 5:00:00, ChangeTime: 01.01.1601 5:00:00, FileAttributes: HSNNCI"
"15:08:53,9846618","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5","SUCCESS",""
"15:08:53,9848018","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat","SUCCESS","Desired Access: Generic Read/Write, Disposition: OpenIf, Options: Synchronous IO Non-Alert, Non-Directory File, Random Access, Attributes: n/a, ShareMode: Read, Write, AllocationSize: 0, OpenResult: Opened"
"15:08:53,9850015","GPU-Z.exe","1748","CreateFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"15:08:53,9850428","GPU-Z.exe","1748","QueryBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat","SUCCESS","CreationTime: 19.08.2015 11:21:46, LastAccessTime: 19.08.2015 11:21:46, LastWriteTime: 18.11.2015 15:05:35, ChangeTime: 18.11.2015 15:05:38, FileAttributes: HSANCI"
"15:08:53,9850700","GPU-Z.exe","1748","CloseFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat","SUCCESS",""
"15:08:53,9851442","GPU-Z.exe","1748","SetBasicInformationFile","C:\Users\Admin\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\index.dat","SUCCESS","CreationTime: 01.01.1601 5:00:00, LastAccessTime: 01.01.1601 5:00:00, LastWriteTime: 18.11.2015 15:08:48, ChangeTime: 01.01.1601 5:00:00, FileAttributes: n/a"
